kW,CH01+CH02,CH01+CH03,CH01+CH04,CH01+CH05,CH01+CH06,CH01+CH07,CH02+CH03,CH02+CH04,CH02+CH05,CH02+CH06,CH02+CH07,CH03+CH04,CH03+CH05,CH03+CH06,CH03+CH07,CH04+CH05,CH04+CH06,CH04+CH07,CH05+CH06,CH05+CH07,CH06+CH07
0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2100,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.678532111,4.628363406,-,4.028349078,-,-
2300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.771090792,4.725352527,-,4.129360176,-,-
2400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4.978529522,4.930802637,-,4.308897575,-,-
2500,-,-,5.566991926,4.808848413,4.762158461,-,-,4.727655687,4.169427218,4.134282903,-,4.101447945,3.674631854,3.647306576,-,5.059446188,5.017096853,5.683970425,4.400435889,4.895885833,4.847498967
2600,-,-,5.723861886,4.952020617,4.904408854,-,-,4.870263456,4.299997943,4.264053148,-,4.241142327,3.802048887,3.773919807,-,5.261824036,5.217780727,5.839072053,4.576453324,5.038020972,4.988749355
2700,-,-,5.864063026,5.087788309,5.043442967,-,-,4.99958463,4.424084863,4.390516442,-,4.360217082,3.915960204,3.889636973,-,5.330989988,5.293250336,5.980476111,4.658476307,5.175190595,5.129315432
2800,4.840561068,4.24768326,6.010051281,5.22254523,5.17748446,5.720409824,3.789362247,5.134696702,4.548699485,4.514478506,4.919157357,4.494382891,4.038942775,4.011939301,4.308085361,5.528434061,5.489296645,6.126012708,4.831012467,5.309887609,5.263313755
2900,4.926465992,4.342307869,6.14244736,5.351008501,5.310141303,5.799055056,3.879801731,5.257928342,4.667050809,4.635932729,5.002633073,4.608747603,4.148382874,4.123778782,4.401374488,5.585758507,5.553830581,6.259367521,4.903485113,5.439522908,5.397297842
3000,5.09634413,4.492042623,6.277715196,5.477348496,5.435952729,5.999022471,4.013587997,5.38569215,4.785750999,4.754118754,5.175137662,4.737523317,4.266990357,4.241826083,4.553146022,5.778370869,5.74534198,6.395479299,5.072570806,5.566784629,5.524031251
3100,5.172039447,4.578572826,6.40558468,5.597869678,5.556023451,6.064942441,4.09787099,5.508779539,4.900662994,4.868561522,5.249274586,4.862984023,4.382876346,4.357182188,4.638996621,5.82377669,5.798842902,6.525546857,5.135463671,5.689270053,5.646051439
3200,5.338879429,4.726268723,6.526769353,5.716392681,5.679754577,6.260585745,4.230060377,5.623171429,5.011126504,4.982948957,5.418606025,4.970453097,4.486130741,4.463534707,4.788641673,6.011640454,5.98590235,6.647392301,5.301123789,5.808709769,5.770882647
3300,5.404374059,4.804701242,6.643947812,5.828352581,5.791416735,6.313778997,4.308218286,5.739030318,5.120128156,5.091601384,5.483394681,5.09069911,4.597726069,4.574710373,4.867057261,6.045061066,6.028282992,6.768030187,5.354411576,5.923622275,5.885473013
3400,5.56814297,4.950298249,6.75715052,5.939646491,5.908837488,6.505105633,4.438770356,5.847067564,5.224804699,5.200950339,5.649558156,5.19306711,4.696307611,4.677026088,5.014543844,6.228244735,6.210958234,6.881692416,5.516666473,6.035662167,6.003851712
3500,5.623438999,5.020616469,6.863727678,6.043016402,6.012034994,6.545569406,4.510827077,5.95580762,5.327929029,5.303831416,5.704988071,5.308200276,4.803659681,4.784062439,5.085517939,6.249621703,6.242138606,6.992996099,5.560327008,6.142994066,6.110981759
3600,5.784108684,5.164062654,6.968810298,6.147082893,6.123152735,6.732585675,4.63970785,6.057320805,5.426767444,5.408108459,5.86798773,5.405262123,4.897467199,4.882265424,5.230818452,6.428182323,6.420485424,7.098334147,5.719193494,6.247641636,6.222923712
3700,5.829202218,5.226238051,7.064858351,6.241827597,6.217819812,6.760316231,4.705681209,6.159043179,5.524046557,5.505234541,5.91404751,5.515377026,5.000622566,4.985201692,5.294336074,6.437463518,6.44039061,7.200386269,5.753206946,6.347381892,6.322556876
3800,5.986748224,5.367487728,7.161710997,6.338677614,6.32265342,6.94302748,4.832861783,6.253875731,5.616998727,5.604412008,6.073886632,5.606934173,5.089556815,5.079220751,5.437426239,6.611449019,6.614455221,7.297281604,5.908699025,6.444648246,6.428084486
3900,6.021629949,5.421480758,7.247288274,6.424755643,6.408714892,6.958020297,4.892764598,6.34867576,5.70846433,5.695797412,6.110563966,5.712120247,5.188561637,5.178094832,5.493464899,6.608587158,6.623013577,7.390155522,5.933047311,6.536783041,6.520178737
4000,6.176030717,5.560493085,7.324715273,6.504160464,6.488131236,7.136431074,5.0182201,6.438639882,5.795892845,5.783161116,6.267245093,5.814155477,5.284918105,5.274330267,5.634322973,6.77803811,6.792834438,7.476240621,6.085176729,6.623361765,6.60674037
4100,6.200686239,5.606253683,7.410976452,6.591771769,6.584664313,7.138680955,5.072060968,6.524648438,5.881167755,5.875509435,6.294526719,5.898319647,5.367424139,5.3627108,5.682853295,6.762989571,6.789976076,7.562268084,6.099843042,6.711195171,6.703827993
4200,6.351922488,5.742991578,7.477803953,6.662263885,6.655176364,7.312795125,5.195769772,6.607747915,5.962761855,5.957083871,6.448051761,5.99553471,5.45968286,5.45492218,5.821459473,6.927940536,6.955585249,7.63909807,6.248619702,6.789994086,6.782632343
4300,6.366332504,5.780459329,7.555889784,6.742847984,6.745611152,7.302296249,5.243553652,6.686906568,6.042143462,6.044362087,6.465923388,6.073861659,5.537156708,5.53901992,5.862445553,6.900664369,6.941240698,7.716695007,6.253588131,6.870616028,6.873484927
4400,6.514386748,5.914888615,7.612140713,6.804359532,6.807109378,7.472117092,5.36549676,6.763227338,6.117932304,6.120155232,6.616293699,6.166337344,5.625362052,5.627241388,5.998781496,7.061144936,7.1026649,7.7843252,6.399020413,6.941609959,6.944471881
4500,6.518527065,5.943992665,7.68200115,6.8779563,6.891496321,7.448863018,5.407225416,6.835396197,6.191378849,6.202348427,6.624739913,6.238627614,5.697704568,5.706993241,6.032181048,7.021602016,7.076763887,7.853412341,6.394275621,7.015043268,7.029128962
4600,6.663383222,6.076081391,7.727690169,6.930411903,6.943860008,7.614393307,5.527385981,6.905023724,6.261392263,6.272367236,6.771956355,6.326444074,5.781901845,5.791259021,6.166229516,7.177637616,7.234025307,7.911894444,6.536370635,7.07820415,7.092232517
4700,6.657224659,6.096740124,7.764321318,6.975236663,6.98856906,7.578376947,5.563058301,6.969592514,6.327093064,6.338060918,6.770960486,6.411144668,5.863436805,5.872854889,6.191993856,7.125789892,7.196495597,7.962863891,6.521897579,7.13505896,7.149009934
4800,6.798867736,6.226457999,7.82442243,7.040384297,7.065353955,7.739619009,5.681421244,7.033083142,6.393130479,6.413713324,6.915023475,6.475729637,5.929246523,5.946946628,6.323738406,7.277402443,7.349612524,8.021783133,6.660661357,7.199771164,7.22588629
4900,6.782375904,6.2385785,7.850254728,7.0758049,7.100510356,7.690832577,5.711033479,7.090995532,6.453020149,6.473561725,6.904567453,6.55586338,6.006818214,6.024613343,6.341812288,7.213212241,7.300378759,8.063476824,6.636445041,7.248569303,7.274498126
5000,6.920791738,6.365896428,7.902311776,7.13423807,7.171511684,7.847788344,5.827585182,7.147350909,6.513136074,6.544188041,7.045476993,6.614061058,6.06733784,6.094275723,6.471237029,7.360420654,7.44936608,8.113972304,6.771882695,7.306305073,7.345403261
5100,6.893926707,6.369373731,7.917326769,7.160143097,7.196948632,7.786223276,5.851131112,7.198691409,6.567243347,6.598192668,7.025541171,6.689707925,6.140993053,6.168046916,6.481558356,7.283850011,7.388348594,8.146428383,6.737907943,7.347002177,7.385759013
5200,7.029101741,6.494263412,7.961335652,7.211931916,7.262247196,7.938894321,5.965859173,7.247770464,6.621398306,6.663786807,7.16329688,6.74129591,6.196114398,6.233217392,6.608647736,7.426670599,7.533218174,8.188445821,6.870023785,7.397799363,7.450751056
5300,6.991817596,6.48897954,7.965507079,7.228198521,7.277781636,7.864541175,5.983330215,7.292626186,6.669753206,6.71194841,7.133859834,6.812537739,6.265901685,6.303127515,6.611147148,7.337680605,7.460331724,8.211701117,6.826275012,7.430346837,7.482752131
5400,7.123738683,6.611413116,7.959399949,7.235563313,7.284321582,8.012928745,6.096223238,7.332134094,6.713456402,6.755411507,7.268460963,6.880658934,6.332980005,6.370301146,6.735885774,7.476127409,7.6010927,8.226556597,6.955072654,7.45566653,7.507446951
5500,7.07598295,6.59723589,7.994767593,7.279913732,7.342897588,7.925777072,6.107608511,7.372743827,6.760540411,6.814824384,7.229499253,6.924201586,6.381480908,6.429826432,6.730486116,7.374677513,7.516245078,8.259280393,6.90153365,7.498591466,7.565433406
5600,7.204637185,6.717185633,7.977446914,7.277145748,7.338948113,8.06988211,6.218655938,7.405792781,6.798440444,6.85234916,7.360944694,6.988008413,6.444735132,6.49316033,6.852858591,7.508762559,7.65290408,8.264745053,7.02701608,7.51546343,7.58139832
5700,7.146350121,6.693967232,8.005081703,7.315225547,7.392173432,7.969920298,6.223942279,7.438985162,6.839595606,6.906816637,7.3124326,7.024535593,6.48766332,6.548114023,6.839474255,7.394809837,7.555994558,8.289153792,6.963669779,7.551722946,7.633754523
5800,7.271724684,6.811405254,7.9764779,7.302146157,7.377482125,8.109743461,6.333134249,7.465666634,6.871721839,6.93839767,7.440720891,7.084114947,6.547145577,6.607643755,6.959465032,7.524543343,7.688555866,8.285249561,7.085839425,7.560073394,7.640854844
5900,7.202838412,6.778980498,7.99642351,7.334063866,7.425472875,7.996958548,6.332306199,7.491286833,6.906909229,6.987921717,7.382630099,7.113361112,6.584376655,6.657959403,6.938001169,7.398041676,7.579473408,8.301310652,7.012667663,7.589726628,7.687662235
6000,7.324920419,6.893878472,7.956455532,7.310475059,7.399761243,8.132500218,6.439633422,7.511697438,6.933292785,7.013552675,7.507759423,7.168803682,6.640141582,6.713721896,7.055594409,7.523432213,7.707939059,8.288058673,7.131526437,7.589474601,7.685750807
6100,7.245357881,6.852062785,7.968767145,7.336350318,7.442644115,8.006877661,6.432673176,7.529580174,6.962471354,7.058136576,7.440058663,7.190482349,6.671543078,6.759330149,7.025945989,7.384331352,7.586560249,8.295741696,7.048509686,7.612586061,7.727097591
6200,7.36413424,6.964391683,7.917341284,7.302032007,7.405604154,8.138137951,6.538126835,7.54382257,6.98314535,7.077810199,7.562026837,7.241883183,6.72364805,6.811363845,7.141125431,7.505385964,7.710930089,8.273162693,7.164059025,7.603642587,7.716013373
6300,7.273807937,6.912978687,7.853508256,7.256586275,7.357218226,7.999661353,6.525014156,7.552272897,6.998650696,7.092209742,7.484681462,7.290138299,6.77296499,6.860549566,7.103176145,7.353630443,7.57711668,8.240756109,7.0711761,7.585969682,7.6960138
6400,7.389265206,7.022708508,7.85909449,7.276703496,7.394807346,8.126640105,6.628585809,7.561973847,7.021271334,7.131166566,7.60348593,7.303142757,6.797583788,6.900537016,7.215924972,7.470354736,7.697388373,8.240553356,7.183416991,7.602549786,7.731561456
6500,7.288075681,6.961467185,7.783181298,7.219735058,7.334165372,7.975290882,6.609297918,7.564278958,7.030995132,7.139475775,7.516457425,7.347459855,6.843290682,6.946014176,7.169545941,7.305882573,7.55098436,8.19851982,7.080644718,7.575739923,7.701832126
6600,7.400199922,7.06856668,7.781671266,7.23436044,7.36714124,8.097987665,6.710979425,7.56607624,7.04766214,7.173618322,7.632095231,7.352349404,6.861860657,6.981206843,7.279846648,7.418280766,7.66715335,8.190223579,7.189577713,7.586164999,7.732304416
6700,7.288033927,6.997238024,7.693505463,7.165542462,7.293807606,7.933744637,6.685490849,7.562349747,7.051636827,7.175821163,7.535340638,7.392834484,6.904020939,7.023016585,7.22489492,7.241021892,7.507981441,8.138560077,7.076890541,7.550083128,7.69262136
6800,7.396810553,7.101674412,7.685023305,7.174855115,7.322345563,8.052158736,6.785274294,7.556046417,7.062308635,7.20516217,7.647808409,7.389244286,6.916382641,7.053336462,7.332729173,7.349096845,7.620040866,8.122167258,7.182515773,7.554452754,7.718140523
6900,7.273538848,7.01996746,7.584407337,7.093819627,7.235832931,7.874997628,6.753556687,7.546411093,7.060569109,7.201241029,7.541279645,7.426009789,6.955063387,7.091521986,7.269045969,7.158971167,7.447898173,8.060868653,7.059885329,7.508948984,7.668256455
7000,7.378952455,7.121706118,7.468846091,6.999000193,7.135192671,7.989128029,6.851434321,7.530511449,7.053123053,7.191450827,7.650573553,7.459584712,6.990866747,7.126739802,7.374394461,7.262724372,7.555838726,7.988141422,7.162202508,7.453029635,7.607660208
7100,7.244427134,7.029293251,7.455803381,7.0043483,7.159884822,7.799020858,6.813456248,7.516380156,7.057784937,7.215730466,7.534216606,7.446704127,6.996317026,7.151493121,7.30180312,-,-,7.96543805,-,7.452279948,7.628596223
7200,7.346461319,7.128297382,7.326801828,6.8960818,7.044657139,7.908866222,6.90942042,7.494594628,7.044526585,7.19963916,7.640332333,7.476682583,7.028698993,7.183107701,7.404645417,-,-,7.882622921,-,7.386287599,7.556998002
7300,7.200512552,7.024808735,7.307597137,6.896874629,7.065553711,7.70578053,6.8651471,7.472163599,7.043276777,7.219284452,7.514086304,7.454601818,7.027671054,7.202889934,7.322948994,-,-,7.852261302,-,7.380009893,7.573480572
7400,7.29914971,7.121038991,7.164808181,6.774596117,6.935026028,7.811339168,6.959190211,7.444632103,7.024239316,7.196861368,7.617018993,7.481112533,7.056707044,7.230948378,7.423263364,-,-,7.759309416,-,7.303713804,7.490528062
7500,7.141581761,7.006055766,7.13967571,6.771101363,6.952366502,7.595237065,6.908583217,7.4136554,7.017036475,7.211897781,7.480814947,7.449347458,7.049003515,7.245669179,7.33224181,-,-,7.721331802,-,7.292062436,7.502727173
7600,7.236802851,7.099469843,6.982696291,6.634163002,6.805728819,7.696506893,7.00069766,7.380531455,6.992256006,7.183109354,7.580559146,7.47252825,7.074773755,7.270221278,7.430005034,-,-,7.618186412,-,7.205202835,7.408026546
7700,7.067389175,6.972516287,6.80697659,6.47944736,6.640828616,7.467343844,6.943714573,7.340548854,6.961090884,7.147701595,7.434318736,7.49246599,7.097561746,7.291663128,7.329411877,-,-,7.50137907,-,7.105559524,7.300104588
7800,7.15917345,7.063068446,6.780264318,6.474332256,6.656100264,7.564322336,7.033892685,7.302186976,6.948571033,7.158374433,7.53086833,7.450537864,7.082769699,7.300882466,7.424599044,-,-,7.459238282,-,7.090631934,7.309236676
7900,6.977650611,6.923602175,6.588670173,6.302917509,6.472822221,7.322045614,6.97048669,7.256638871,6.911526607,7.11636061,7.374502119,7.467299133,7.102362644,7.318841409,7.314157463,-,-,7.331518109,-,6.979419652,7.188358483
8000,7.065975302,7.011242709,6.557268014,6.294566493,6.485359647,7.414729735,7.058720699,7.20947676,6.893178294,7.122647198,7.467850247,7.414695848,7.080551401,7.322884168,7.406741734,-,-,7.282447747,-,6.959857274,7.193862392
8100,6.872035386,6.858642964,-,-,-,7.159276426,6.988840122,-,-,-,7.301255681,-,-,-,7.286139899,-,-,-,-,-,-
8200,6.956875329,6.943317568,-,-,-,7.247662554,7.075122099,-,-,-,7.39139464,-,-,-,7.376092243,-,-,-,-,-,-
8300,6.750156382,6.776870891,-,-,-,6.978956953,6.998709871,-,-,-,7.21445354,-,-,-,7.244977765,-,-,-,-,-,-
8400,6.831483568,6.858519937,-,-,-,7.063040771,7.083031677,-,-,-,7.301374667,-,-,-,7.332266653,-,-,-,-,-,-
8500,6.611557457,6.677402563,-,-,-,6.780990946,7.00002471,-,-,-,7.113950152,-,-,-,7.190239932,-,-,-,-,-,-
8600,6.689340486,6.755960241,-,-,-,6.86076731,7.082377942,-,-,-,7.197643683,-,-,-,7.27483099,-,-,-,-,-,-
8700,6.455697332,6.559216325,-,-,-,6.565260503,6.992706419,-,-,-,6.999576318,-,-,-,7.121437203,-,-,-,-,-,-
8800,6.529900749,6.634609616,-,-,-,6.640723268,7.073082354,-,-,-,7.080031218,-,-,-,7.203292803,-,-,-,-,-,-
8900,6.28192874,6.421124086,-,-,-,6.331619644,6.976668892,-,-,-,6.8711342,-,-,-,7.038012203,-,-,-,-,-,-
9000,6.352512209,6.493271547,-,-,-,6.402761438,7.055058431,-,-,-,6.948337955,-,-,-,7.117090991,-,-,-,-,-,-
9100,6.089471142,6.261735978,-,-,-,6.079885458,6.951817121,-,-,-,6.728390994,-,-,-,6.939327081,-,-,-,-,-,-
9200,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9300,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9400,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9500,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9700,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9800,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
9900,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
10000,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
