"Time","CCP1 Cooling Load"
2025-06-17 00:00:00,5395
2025-06-17 01:00:00,7735
2025-06-17 02:00:00,5662.5
2025-06-17 03:00:00,5681.5
2025-06-17 04:00:00,5412
2025-06-17 05:00:00,3717
2025-06-17 06:00:00,4655.5
2025-06-17 07:00:00,4375.5
2025-06-17 08:00:00,7189
2025-06-17 09:00:00,6955
2025-06-17 10:00:00,9105
2025-06-17 11:00:00,11003.5
2025-06-17 12:00:00,11175.5
2025-06-17 13:00:00,11826.5
2025-06-17 14:00:00,11553
2025-06-17 15:00:00,11459
2025-06-17 16:00:00,11502.5
2025-06-17 17:00:00,11461.5
2025-06-17 18:00:00,11324
2025-06-17 19:00:00,9654.5
2025-06-17 20:00:00,10027.5
2025-06-17 21:00:00,7790
2025-06-17 22:00:00,6678
2025-06-17 23:00:00,3818.5
