"Time","CCP1 Cooling Load"
2025-06-17 00:00:00,10790
2025-06-17 01:00:00,15470
2025-06-17 02:00:00,11325
2025-06-17 03:00:00,11363
2025-06-17 04:00:00,10824
2025-06-17 05:00:00,7434
2025-06-17 06:00:00,9311
2025-06-17 07:00:00,8751
2025-06-17 08:00:00,14378
2025-06-17 09:00:00,13910
2025-06-17 10:00:00,18210
2025-06-17 11:00:00,22007
2025-06-17 12:00:00,22351
2025-06-17 13:00:00,23653
2025-06-17 14:00:00,23106
2025-06-17 15:00:00,22918
2025-06-17 16:00:00,23005
2025-06-17 17:00:00,22923
2025-06-17 18:00:00,22648
2025-06-17 19:00:00,19309
2025-06-17 20:00:00,20055
2025-06-17 21:00:00,15580
2025-06-17 22:00:00,13356
2025-06-17 23:00:00,7637
